Chunks,NLTK,spaCy,NLTK U spaCy,No_Names
" law
and seize a vocalist who is released upon the flight of the rest on
condition of his getting out of this then come and cutting ita
condition he immediately observes So the sensation dies off for the
time and the unmoved policeman to whom a little opium more or
less is nothing with his shining hat stiff stock inflexible
greatcoat stout belt and bracelet and all things fitting pursues
his lounging way with a heavy tread beating the palms of his white
gloves one against the other and stopping ",F,F,F,True
"aining under the general excitement that a pieman who has
established himself for the occasion at the corner of the court says
his brandyballs go off like smoke What time the beadle hovering
between the door of Mr Krooks establishment and the door of the
Sols Arms shows the curiosity in his keeping to a few discreet
spirits and accepts the compliment of a glass of ale or so in return

At the appointed hour arrives the coroner for whom the jurymen are
waiting and who is received with a salute of ",F,F,F,True
"y time excepting the boy that sweeps the crossing
down the lane over the way round the corner which if he was here
would tell you that he has been seen aspeaking to him frequent

Says the coroner is that boy here Says the beadle no sir he is
not here Says the coroner go and fetch him then In the absence of
the active and intelligent the coroner converses with Mr
Tulkinghorn

Oh Heres the boy gentlemen

Here he is very muddy very hoarse very ragged Now boy But stop
a minute Caution This boy must ",F,F,F,True
"be done to him arter hes dead if he tells a lie
to the gentlemen here but believes itll be something wery bad to
punish him and serve him rightand so hell tell the truth

This wont do gentlemen says the coroner with a melancholy shake
of the head

Dont you think you can receive his evidence sir asks an
attentive juryman

Out of the question says the coroner You have heard the boy
Cant exactly say wont do you know We cant take THAT in a court
of justice gentlemen Its terrible depravity Put the bo",F,F,F,True
"here is rest around the lonely figure now
laid in its last earthly habitation and it is watched by the gaunt
eyes in the shutters through some quiet hours of night If this
forlorn man could have been prophetically seen lying here by the
mother at whose breast he nestled a little child with eyes upraised
to her loving face and soft hand scarcely knowing how to close upon
the neck to which it crept what an impossibility the vision would
have seemed Oh if in brighter days the nowextinguished fire w",F,F,F,True
"s who hang about official
backstairswould to heaven they HAD departedare very complacent
and agreeable Into a beastly scrap of ground which a Turk would
reject as a savage abomination and a Caffre would shudder at they
bring our dear brother here departed to receive Christian burial

With houses looking on on every side save where a reeking little
tunnel of a court gives access to the iron gatewith every villainy
of life in action close on death and every poisonous element of
death in action clo",F,F,F,True
"se on lifehere they lower our dear brother down
a foot or two here sow him in corruption to be raised in
corruption an avenging ghost at many a sickbedside a shameful
testimony to future ages how civilization and barbarism walked this
boastful island together

Come night come darkness for you cannot come too soon or stay too
long by such a place as this Come straggling lights into the
windows of the ugly houses and you who do iniquity therein do it at
least with this dread scene shut out Come fl",F,F,F,True
"ame of gas burning so
sullenly above the iron gate on which the poisoned air deposits its
witchointment slimy to the touch It is well that you should call to
every passerby Look here

With the night comes a slouching figure through the tunnelcourt to
the outside of the iron gate It holds the gate with its hands and
looks in between the bars stands looking in for a little while

It then with an old broom it carries softly sweeps the step and
makes the archway clean It does so very busily and trim",F,F,F,True
"ittle irritated He says In the matter of the right of way I
beg your pardon thats not the place He saysyes Here I have it
He says I beg my respectful compliments to my Lady who I hope
has benefited by the change Will you do me the favour to mention as
it may interest her that I have something to tell her on her return
in reference to the person who copied the affidavit in the Chancery
suit which so powerfully stimulated her curiosity I have seen
him

My Lady leaning forward looks out of her wind",F,F,F,True
"ester for all his scrupulous
politeness is unable to assist her and is left behind A space of a
minute or two has elapsed before he comes up with her She smiles
looks very handsome takes his arm lounges with him for a quarter of
a mile is very much bored and resumes her seat in the carriage

The rattle and clatter continue through the greater part of three
days with more or less of belljingling and whipcracking and more
or less plunging of centaurs and barebacked horses Their courtly
politeness ",F,F,F,True
"ith
malcontents who wont admit it now all consenting to consider the
question disposed of now all breaking out again in violent debate
incited by one obstinate and drowsy bird who will persist in putting
in a last contradictory croak Leaving them to swing and caw the
travelling chariot rolls on to the house where fires gleam warmly
through some of the windows though not through so many as to give an
inhabited expression to the darkening mass of front But the
brilliant and distinguished circle wi",F,F,F,True
"feline
mouth and general uncomfortable tightness of face rendering the jaws
too eager and the skull too prominent There is something indefinably
keen and wan about her anatomy and she has a watchful way of looking
out of the corners of her eyes without turning her head which could
be pleasantly dispensed with especially when she is in an ill humour
and near knives Through all the good taste of her dress and little
adornments these objections so express themselves that she seems to
go about like ",F,F,F,True
"er
countrywomen and others attached in like capacity to the troop of
visitors relapses into silent enjoyment of the jokean enjoyment
expressed in her own convivial manner by an additional tightness of
face thin elongation of compressed lips and sidewise look which
intense appreciation of humour is frequently reflected in my Ladys
mirrors when my Lady is not among them

All the mirrors in the house are brought into action now many of
them after a long blank They reflect handsome faces simpering
f",F,F,F,True
"ottles at their
noses There is no beau whom it takes four men at once to shake into
his buckskins or who goes to see all the executions or who is
troubled with the selfreproach of having once consumed a pea But is
there dandyism in the brilliant and distinguished circle
notwithstanding dandyism of a more mischievous sort that has got
below the surface and is doing less harmless things than
jacktowelling itself and stopping its own digestion to which no
rational person need particularly object

W",F,F,F,True
"hy yes It cannot be disguised There ARE at Chesney Wold this
January week some ladies and gentlemen of the newest fashion who
have set up a dandyismin religion for instance Who in mere
lackadaisical want of an emotion have agreed upon a little dandy talk
about the vulgar wanting faith in things in general meaning in the
things that have been tried and found wanting as though a low fellow
should unaccountably lose faith in a bad shilling after finding it
out Who would make the vulgar very picture",F,F,F,True
"sque and faithful by
putting back the hands upon the clock of time and cancelling a few
hundred years of history

There are also ladies and gentlemen of another fashion not so new
but very elegant who have agreed to put a smooth glaze on the world
and to keep down all its realities For whom everything must be
languid and pretty Who have found out the perpetual stoppage Who
are to rejoice at nothing and be sorry for nothing Who are not to be
disturbed by ideas On whom even the fine arts attending",F,F,F,True
"ces
down the table for the vacant place that would be waiting to receive
him if he had just arrived but there is no vacant place Every night
my Lady casually asks her maid Is Mr Tulkinghorn come

Every night the answer is No my Lady not yet

One night while having her hair undressed my Lady loses herself in
deep thought after this reply until she sees her own brooding face in
the opposite glass and a pair of black eyes curiously observing her

Be so good as to attend says my Lady then addressing",F,F,F,True
"h his gipsy colour
and his wild black hair and beard that I should have considered him
the commonest of the common The surgeon had a notion that he had
once been something better both in appearance and condition

What did they call the wretched being

They called him what he had called himself but no one knew his
name

Not even any one who had attended on him

No one had attended on him He was found dead In fact I found
him

Without any clue to anything more

Without any there was says the lawye",F,F,F,True
"t no association in my
Ladys mind can possibly be traceable to this poor wretch unless he
was a beggingletter writer he trusts to hear no more about a
subject so far removed from my Ladys station

Certainly a collection of horrors says my Lady gathering up her
mantles and furs but they interest one for the moment Have the
kindness Mr Tulkinghorn to open the door for me

Mr Tulkinghorn does so with deference and holds it open while she
passes out She passes close to him with her usual fatigued ma",F,F,F,True
"d had learnt
I understood to make Latin verses of several sorts in the most
admirable manner But I never heard that it had been anybodys
business to find out what his natural bent was or where his failings
lay or to adapt any kind of knowledge to HIM HE had been adapted to
the verses and had learnt the art of making them to such perfection
that if he had remained at school until he was of age I suppose he
could only have gone on making them over and over again unless he had
enlarged his educatio",F,F,F,True
"rested himself strongly in
the subjectthough I need not say that for he could do nothing
weakly I rejoice to find a young gentleman of spirit and gallantry
devoting himself to that noble profession The more spirit there is
in it the better for mankind and the worse for those mercenary
taskmasters and low tricksters who delight in putting that
illustrious art at a disadvantage in the world By all that is base
and despicable cried Mr Boythorn the treatment of surgeons
aboard ship is such that I wo",F,F,F,True
"y ought to be worked in quicksilver
mines for the short remainder of their miserable existence if it
were only to prevent their detestable English from contaminating a
language spoken in the presence of the sunas to those fellows who
meanly take advantage of the ardour of gentlemen in the pursuit of
knowledge to recompense the inestimable services of the best years of
their lives their long study and their expensive education with
pittances too small for the acceptance of clerks I would have the",F,F,F,True
"py with his hair flattened down
upon his head and woe depicted in his face looking up at me I felt
all through the performance that he never looked at the actors but
constantly looked at me and always with a carefully prepared
expression of the deepest misery and the profoundest dejection

It quite spoiled my pleasure for that night because it was so very
embarrassing and so very ridiculous But from that time forth we
never went to the play without my seeing Mr Guppy in the pit always
with his h",F,F,F,True
"air straight and flat his shirtcollar turned down and a
general feebleness about him If he were not there when we went in
and I began to hope he would not come and yielded myself for a little
while to the interest of the scene I was certain to encounter his
languishing eyes when I least expected it and from that time to be
quite sure that they were fixed upon me all the evening

I really cannot express how uneasy this made me If he would only
have brushed up his hair or turned up his collar it w",F,F,F,True
"fallen in love
with me instead of one another they were so confiding and so
trustful and so fond of me They went on in their own wild way for a
little whileI never stopped them I enjoyed it too much myselfand
then we gradually fell to considering how young they were and how
there must be a lapse of several years before this early love could
come to anything and how it could come to happiness only if it were
real and lasting and inspired them with a steady resolution to do
their duty to each othe",F,F,F,True
" his hair very wet and
then violently frizzling it with her fingers Everything the dear
child wore was either too large for him or too small Among his other
contradictory decorations he had the hat of a bishop and the little
gloves of a baby His boots were on a small scale the boots of a
ploughman while his legs so crossed and recrossed with scratches
that they looked like maps were bare below a very short pair of
plaid drawers finished off with two frills of perfectly different
patterns The def",F,F,F,True
"oap and water and a hairbrush and went out bending
our steps towards Newman Street which was very near

I found the academy established in a sufficiently dingy house at the
corner of an archway with busts in all the staircase windows In the
same house there were also established as I gathered from the plates
on the door a drawingmaster a coalmerchant there was certainly
no room for his coals and a lithographic artist On the plate
which in size and situation took precedence of all the rest I
read",F,F,F,True
" to be the cause of any more
delay

With that apology I withdrew to a seat between Peepy who being well
used to it had already climbed into a corner place and an old lady
of a censorious countenance whose two nieces were in the class and
who was very indignant with Peepys boots Prince Turveydrop then
tinkled the strings of his kit with his fingers and the young ladies
stood up to dance Just then there appeared from a sidedoor old Mr
Turveydrop in the full lustre of his deportment

He was a fat o",F,F,F,True
"ld gentleman with a false complexion false teeth
false whiskers and a wig He had a fur collar and he had a padded
breast to his coat which only wanted a star or a broad blue ribbon
to be complete He was pinched in and swelled out and got up and
strapped down as much as he could possibly bear He had such a
neckcloth on puffing his very eyes out of their natural shape and
his chin and even his ears so sunk into it that it seemed as though
he must inevitably double up if it were cast loose He had u",F,F,F,True
"ion the lesson went on
Prince Turveydrop sometimes played the kit dancing sometimes played
the piano standing sometimes hummed the tune with what little
breath he could spare while he set a pupil right always
conscientiously moved with the least proficient through every step
and every part of the figure and never rested for an instant His
distinguished father did nothing whatever but stand before the fire
a model of deportment

And he never does anything else said the old lady of the
censorious ",F,F,F,True
"countenance Yet would you believe that its HIS name on
the doorplate

His sons name is the same you know said I

He wouldnt let his son have any name if he could take it from him
returned the old lady Look at the sons dress It certainly was
plainthreadbarealmost shabby Yet the father must be garnished
and tricked out said the old lady because of his deportment Id
deport him Transport him would be better

I felt curious to know more concerning this person I asked Does he
give lessons in deportmen",F,F,F,True
"connexion having never in his life before done anything but deport
himself and had worked her to death or had at the best suffered
her to work herself to death to maintain him in those expenses which
were indispensable to his position At once to exhibit his deportment
to the best models and to keep the best models constantly before
himself he had found it necessary to frequent all public places of
fashionable and lounging resort to be seen at Brighton and elsewhere
at fashionable times and to le",F,F,F,True
"ad an idle life in the very best
clothes To enable him to do this the affectionate little
dancingmistress had toiled and laboured and would have toiled and
laboured to that hour if her strength had lasted so long For the
mainspring of the story was that in spite of the mans absorbing
selfishness his wife overpowered by his deportment had to the
last believed in him and had on her deathbed in the most moving
terms confided him to their son as one who had an inextinguishable
claim upon him and who",F,F,F,True
" I should not do that in any
case but merely told him where I did reside

A lady so graceful and accomplished he said kissing his
right glove and afterwards extending it towards the pupils
will look leniently on the deficiencies here We do our best to
polishpolishpolish

He sat down beside me taking some pains to sit on the form I
thought in imitation of the print of his illustrious model on the
sofa And really he did look very like it

To polishpolishpolish he repeated taking a pinch of snuff a",F,F,F,True
" forwards them Until the judgment I expect is given Now
thats very creditable you know To confess in that way that he IS a
little slow for human life So delicate Attending court the other
dayI attend it regularly with my documentsI taxed him with it
and he almost confessed That is I smiled at him from my bench and
HE smiled at me from his bench But its great good fortune is it
not And FitzJarndyce lays the money out for me to great advantage
Oh I assure you to the greatest advantage

I congratul",F,F,F,True
"his open mouth with a curious expression of a sense of
power and turning up his eyes and lowering his grey eyebrows until
they appeared to be shut seemed to scan every lineament of his face

At last having been always attended by the cat all over the house
and having seen the whole stock of miscellaneous lumber which was
certainly curious we came into the back part of the shop Here on
the head of an empty barrel stood on end were an inkbottle some old
stumps of pens and some dirty playbills and ",F,F,F,True
" never understood him well
enough to know What he was to my guardian he certainly was to the
rest of the world

He had not been very well and thus though he lived in London we
had seen nothing of him until now He appeared one morning in his
usual agreeable way and as full of pleasant spirits as ever

Well he said here he was He had been bilious but rich men were
often bilious and therefore he had been persuading himself that he
was a man of property So he was in a certain point of viewin his
exp",F,F,F,True
"ansive intentions He had been enriching his medical attendant in
the most lavish manner He had always doubled and sometimes
quadrupled his fees He had said to the doctor Now my dear
doctor it is quite a delusion on your part to suppose that you
attend me for nothing I am overwhelming you with moneyin my
expansive intentionsif you only knew it And really he said he
meant it to that degree that he thought it much the same as doing it
If he had had those bits of metal or thin paper to which mankind",F,F,F,True
"
ground Says he Sir why did you eat spring lamb at eighteen pence
a pound Why did I eat spring lamb at eighteen pence a pound my
honest friend said I naturally amazed by the question I like
spring lamb This was so far convincing Well sir says he I
wish I had meant the lamb as you mean the money My good fellow
said I pray let us reason like intellectual beings How could that
be It was impossible You HAD got the lamb and I have NOT got the
money You couldnt really mean the lamb without sending it ",F,F,F,True
"at one another and at these two children when there
came into the room a very little girl childish in figure but shrewd
and olderlooking in the faceprettyfaced toowearing a womanly
sort of bonnet much too large for her and drying her bare arms on a
womanly sort of apron Her fingers were white and wrinkled with
washing and the soapsuds were yet smoking which she wiped off her
arms But for this she might have been a child playing at washing
and imitating a poor workingwoman with a quick observatio",F,F,F,True
"I know I beg your pardon Sir with
renewed violence I have been dragged for five and twenty years over
burning iron and I have lost the habit of treading upon velvet Go
into the Court of Chancery yonder and ask what is one of the standing
jokes that brighten up their business sometimes and they will tell
you that the best joke they have is the man from Shropshire I he
said beating one hand on the other passionately am the man from
Shropshire

I believe I and my family have also had the honour of ",F,F,F,True
"ver get
that I am able to keep my wits together It is only that he said
speaking in a homely rustic way and with great vehemence You may
tell me that I overexcite myself I answer that its in my nature to
do it under wrong and I must do it Theres nothing between doing
it and sinking into the smiling state of the poor little mad woman
that haunts the court If I was once to sit down under it I should
become imbecile

The passion and heat in which he was and the manner in which his
face worked and t",F,F,F,True
" relations said that he had had a part of it
already in board and lodging and some other things Now mind That
was the question and nothing else No one disputed the will no one
disputed anything but whether part of that three hundred pounds had
been already paid or not To settle that question my brother filing
a bill I was obliged to go into this accursed Chancery I was forced
there because the law forced me and would let me go nowhere else
Seventeen people were made defendants to that simple sui",F,F,F,True
"t It first
came on after two years It was then stopped for another two years
while the master may his head rot off inquired whether I was my
fathers son about which there was no dispute at all with any mortal
creature He then found out that there were not defendants
enoughremember there were only seventeen as yetbut that we must
have another who had been left out and must begin all over again The
costs at that timebefore the thing was begunwere three times the
legacy My brother would have given ",F,F,F,True
"amusing
too to see me committed into custody and brought up in custody and
all that It would be better for me they tell me if I restrained
myself I tell them that if I did restrain myself I should become
imbecile I was a goodenoughtempered man once I believe People in
my part of the country say they remember me so but now I must have
this vent under my sense of injury or nothing could hold my wits
together It would be far better for you Mr Gridley the Lord
Chancellor told me last week not to was",F,F,F,True
"ally been enabling Coavinses to bring up
these charming children in this agreeable way developing these
social virtues Insomuch that his heart had just now swelled and the
tears had come into his eyes when he had looked round the room and
thought I was the great patron of Coavinses and his little
comforts were MY work

There was something so captivating in his light way of touching these
fantastic strings and he was such a mirthful child by the side of
the graver childhood we had seen that he ma",F,F,F,True
"up his family legs to the family disorder
as if he held his name and fortune on that feudal tenure He feels
that for a Dedlock to be laid upon his back and spasmodically
twitched and stabbed in his extremities is a liberty taken somewhere
but he thinks We have all yielded to this it belongs to us it has
for some hundreds of years been understood that we are not to make
the vaults in the park interesting on more ignoble terms and I
submit myself to the compromise

And a goodly show he makes lying",F,F,F,True
" in a flush of crimson and gold in
the midst of the great drawingroom before his favourite picture of
my Lady with broad strips of sunlight shining in down the long
perspective through the long line of windows and alternating with
soft reliefs of shadow Outside the stately oaks rooted for ages in
the green ground which has never known ploughshare but was still a
chase when kings rode to battle with sword and shield and rode
ahunting with bow and arrow bear witness to his greatness Inside
his for",F,F,F,True
"ion of
remaining there and will soon flit hither again to the confusion of
the fashionable intelligence The house in town is not prepared for
her reception It is muffled and dreary Only one Mercury in powder
gapes disconsolate at the hallwindow and he mentioned last night to
another Mercury of his acquaintance also accustomed to good society
that if that sort of thing was to lastwhich it couldnt for a man
of his spirits couldnt bear it and a man of his figure couldnt be
expected to bear itthere ",F,F,F,True
"here the
crazy houses were seized upon when their decay was far advanced by
some bold vagrants who after establishing their own possession took
to letting them out in lodgings Now these tumbling tenements
contain by night a swarm of misery As on the ruined human wretch
vermin parasites appear so these ruined shelters have bred a crowd
of foul existence that crawls in and out of gaps in walls and boards
and coils itself to sleep in maggot numbers where the rain drips
in and comes and goes fetchin",F,F,F,True
" feel that it would
appear to be perfectly true that I have no business here or there
or anywhere and yet to be perplexed by the consideration that I AM
here somehow too and everybody overlooked me until I became the
creature that I am It must be a strange state not merely to be told
that I am scarcely human as in the case of my offering myself for a
witness but to feel it of my own knowledge all my life To see the
horses dogs and cattle go by me and to know that in ignorance I
belong to them an",F,F,F,True
"treets and the houses
not yet being open he sits down to breakfast on the doorstep of the
Society for the Propagation of the Gospel in Foreign Parts and gives
it a brush when he has finished as an acknowledgment of the
accommodation He admires the size of the edifice and wonders what
its all about He has no idea poor wretch of the spiritual
destitution of a coral reef in the Pacific or what it costs to look
up the precious souls among the coconuts and breadfruit

He goes to his crossing and begi",F,F,F,True
"dle of his broom between the bars of the gate and
with his utmost power of elaboration points it out At length
looking aside to see if he has made himself intelligible he finds
that he is alone

His first proceeding is to hold the piece of money to the gaslight
and to be overpowered at finding that it is yellowgold His next is
to give it a onesided bite at the edge as a test of its quality
His next to put it in his mouth for safety and to sweep the
step and passage with great care His job done h",F,F,F,True
"gaiety and freshness was
always delightful But though I liked him more and more the better I
knew him I still felt more and more how much it was to be regretted
that he had been educated in no habits of application and
concentration The system which had addressed him in exactly the same
manner as it had addressed hundreds of other boys all varying in
character and capacity had enabled him to dash through his tasks
always with fair credit and often with distinction but in a fitful
dazzling way th",F,F,F,True
"e drawer in the temporary growlery and coming to a stop
for want of it I took my candle and went softly down to get it To
my great surprise on going in I found my guardian still there and
sitting looking at the ashes He was lost in thought his book lay
unheeded by his side his silvered irongrey hair was scattered
confusedly upon his forehead as though his hand had been wandering
among it while his thoughts were elsewhere and his face looked worn
Almost frightened by coming upon him so unexpected",F,F,F,True
"nough when you will understand this better and
will feel it too as no one save a woman can I had covered my face
with my hands in repeating the words but I took them away now with a
better kind of shame I hope and told him that to him I owed the
blessing that I had from my childhood to that hour never never
never felt it He put up his hand as if to stop me I well knew that
he was never to be thanked and said no more

Nine years my dear he said after thinking for a little while
have passed since ",F,F,F,True
"I received a letter from a lady living in
seclusion written with a stern passion and power that rendered it
unlike all other letters I have ever read It was written to me as
it told me in so many words perhaps because it was the writers
idiosyncrasy to put that trust in me perhaps because it was mine to
justify it It told me of a child an orphan girl then twelve years
old in some such cruel words as those which live in your
remembrance It told me that the writer had bred her in secrecy from
her ",F,F,F,True
"birth had blotted out all trace of her existence and that if
the writer were to die before the child became a woman she would be
left entirely friendless nameless and unknown It asked me to
consider if I would in that case finish what the writer had begun

I listened in silence and looked attentively at him

Your early recollection my dear will supply the gloomy medium
through which all this was seen and expressed by the writer and the
distorted religion which clouded her mind with impressions o",F,F,F,True
"f the
need there was for the child to expiate an offence of which she was
quite innocent I felt concerned for the little creature in her
darkened life and replied to the letter

I took his hand and kissed it

It laid the injunction on me that I should never propose to see the
writer who had long been estranged from all intercourse with the
world but who would see a confidential agent if I would appoint one
I accredited Mr Kenge The lady said of her own accord and not of
his seeking that her name",F,F,F,True
" was an assumed one That she was if there
were any ties of blood in such a case the childs aunt That more
than this she would never and he was well persuaded of the
steadfastness of her resolution for any human consideration
disclose My dear I have told you all

I held his hand for a little while in mine

I saw my ward oftener than she saw me he added cheerily making
light of it and I always knew she was beloved useful and happy
She repays me twentythousandfold and twenty more to that every
hour",F,F,F,True
" in every day

And oftener still said I she blesses the guardian who is a
father to her

At the word father I saw his former trouble come into his face He
subdued it as before and it was gone in an instant but it had been
there and it had come so swiftly upon my words that I felt as if they
had given him a shock I again inwardly repeated wondering That I
could readily understand None that I could readily understand No
it was true I did not understand it Not for many and many a day

Take a father",F,F,F,True
" on board ship He was to be away a
long long time

I believeat least I knowthat he was not rich All his widowed
mother could spare had been spent in qualifying him for his
profession It was not lucrative to a young practitioner with very
little influence in London and although he was night and day at
the service of numbers of poor people and did wonders of gentleness
and skill for them he gained very little by it in money He was
seven years older than I Not that I need mention it for it hardly
s",F,F,F,True
"eems to belong to anything

I thinkI mean he told usthat he had been in practice three or
four years and that if he could have hoped to contend through three
or four more he would not have made the voyage on which he was
bound But he had no fortune or private means and so he was going
away He had been to see us several times altogether We thought it a
pity he should go away Because he was distinguished in his art among
those who knew it best and some of the greatest men belonging to it
had a hig",F,F,F,True
"doubt whether he wanted to leave
him at all He didnt know he said really It wasnt a bad
profession he couldnt assert that he disliked it perhaps he liked
it as well as he liked any othersuppose he gave it one more chance
Upon that he shut himself up for a few weeks with some books and
some bones and seemed to acquire a considerable fund of information
with great rapidity His fervour after lasting about a month began
to cool and when it was quite cooled began to grow warm again His
vacillations b",F,F,F,True
"atus purse he made so light of money which he answered in
this way My jewel of a dear cousin you hear this old woman Why
does she say that Because I gave eight pounds odd or whatever it
was for a certain neat waistcoat and buttons a few days ago Now if
I had stayed at Badgers I should have been obliged to spend twelve
pounds at a blow for some heartbreaking lecturefees So I make four
poundsin a lumpby the transaction

It was a question much discussed between him and my guardian what
arrangements",F,F,F,True
"flowers the
trees were so thickly out in leaf the beanfields with a light wind
blowing over them filled the air with such a delicious fragrance
Late in the afternoon we came to the markettown where we were to
alight from the coacha dull little town with a churchspire and a
marketplace and a marketcross and one intensely sunny street and
a pond with an old horse cooling his legs in it and a very few men
sleepily lying and standing about in narrow little bits of shade
After the rustling of the lea",F,F,F,True
" courtly gesture as if
particularly to exclude her from any part in the quarrel is
expected I believe daily I am not in the least surprised that she
postpones her appearance as long as possible Whatever can have
induced that transcendent woman to marry that effigy and figurehead
of a baronet is one of the most impenetrable mysteries that ever
baffled human inquiry Ha ha ha ha

I suppose said my guardian laughing WE may set foot in the park
while we are here The prohibition does not extend to us ",F,F,F,True
"it on the whole Its in
better keeping I am looked upon about here as a second Ajax defying
the lightning Ha ha ha ha When I go into our little church on a
Sunday a considerable part of the inconsiderable congregation expect
to see me drop scorched and withered on the pavement under the
Dedlock displeasure Ha ha ha ha I have no doubt he is surprised
that I dont For he is by heaven the most selfsatisfied and the
shallowest and the most coxcombical and utterly brainless ass

Our coming to the ridge",F,F,F,True
"
everything house garden terrace green slopes water old oaks
fern moss woods again and far away across the openings in the
prospect to the distance lying wide before us with a purple bloom
upon it there seemed to be such undisturbed repose

When we came into the little village and passed a small inn with the
sign of the Dedlock Arms swinging over the road in front Mr
Boythorn interchanged greetings with a young gentleman sitting on a
bench outside the inndoor who had some fishingtackle lying bes",F,F,F,True
"t the side and a wellstocked
orchard and kitchengarden in the rear enclosed with a venerable
wall that had of itself a ripened ruddy look But indeed everything
about the place wore an aspect of maturity and abundance The old
limetree walk was like green cloisters the very shadows of the
cherrytrees and appletrees were heavy with fruit the
gooseberrybushes were so laden that their branches arched and rested
on the earth the strawberries and raspberries grew in like
profusion and the peaches baske",F,F,F,True
"d by the hundred on the wall Tumbled
about among the spread nets and the glass frames sparkling and
winking in the sun there were such heaps of drooping pods and
marrows and cucumbers that every foot of ground appeared a
vegetable treasury while the smell of sweet herbs and all kinds of
wholesome growth to say nothing of the neighbouring meadows where
the hay was carrying made the whole air a great nosegay Such
stillness and composure reigned within the orderly precincts of the
old red wall that",F,F,F,True
" even the feathers hung in garlands to scare the
birds hardly stirred and the wall had such a ripening influence that
where here and there high up a disused nail and scrap of list still
clung to it it was easy to fancy that they had mellowed with the
changing seasons and that they had rusted and decayed according to
the common fate

The house though a little disorderly in comparison with the garden
was a real old house with settles in the chimney of the brickfloored
kitchen and great beams acros",F,F,F,True
"g among the verdant turf and the beautiful
trees until it brought us to the churchporch

The congregation was extremely small and quite a rustic one with the
exception of a large muster of servants from the house some of whom
were already in their seats while others were yet dropping in There
were some stately footmen and there was a perfect picture of an old
coachman who looked as if he were the official representative of all
the pomps and vanities that had ever been put into his coach There
wa",F,F,F,True
"l and indeed of every one and
everything there It was a Frenchwomans

As the bell was yet ringing and the great people were not yet come I
had leisure to glance over the church which smelt as earthy as a
grave and to think what a shady ancient solemn little church it
was The windows heavily shaded by trees admitted a subdued light
that made the faces around me pale and darkened the old brasses in
the pavement and the time and dampworn monuments and rendered the
sunshine in the little porch where",F,F,F,True
"not the least idea I dont know what it is you call by that
name or where it is or who possesses it If you possess it and find
it comfortable I am quite delighted and congratulate you heartily
But I know nothing about it I assure you for I am a mere child and
I lay no claim to it and I dont want it So you see excellent
Boythorn and I would go to dinner after all

This was one of many little dialogues between them which I always
expected to end and which I dare say would have ended under other
cir",F,F,F,True
"hat
to ramble in the woods and to see the light striking down among the
transparent leaves and sparkling in the beautiful interlacings of the
shadows of the trees while the birds poured out their songs and the
air was drowsy with the hum of insects had been most delightful We
had one favourite spot deep in moss and last years leaves where
there were some felled trees from which the bark was all stripped
off Seated among these we looked through a green vista supported by
thousands of natural colu",F,F,F,True
"sheltered spotthat
before we reached the outskirts of the wood the thunder and lightning
were frequent and the rain came plunging through the leaves as if
every drop were a great leaden bead As it was not a time for
standing among trees we ran out of the wood and up and down the
mossgrown steps which crossed the plantationfence like two
broadstaved ladders placed back to back and made for a keepers
lodge which was close at hand We had often noticed the dark beauty
of this lodge standing in a dee",F,F,F,True
"m sufficiently obliged

She had given him her hand in an indifferent way that seemed habitual
to her and spoke in a correspondingly indifferent manner though in a
very pleasant voice She was as graceful as she was beautiful
perfectly selfpossessed and had the air I thought of being able
to attract and interest any one if she had thought it worth her
while The keeper had brought her a chair on which she sat in the
middle of the porch between us

Is the young gentleman disposed of whom you wrote t",F,F,F,True
"ly

But as he would on no account accept this offer she took a graceful
leave of Adanone of meand put her hand upon his proffered arm
and got into the carriage which was a little low park carriage
with a hood

Come in child she said to the pretty girl I shall want you Go
on

The carriage rolled away and the Frenchwoman with the wrappers she
had brought hanging over her arm remained standing where she had
alighted

I suppose there is nothing pride can so little bear with as pride
itself and that ",F,F,F,True
"she was punished for her imperious manner Her
retaliation was the most singular I could have imagined She remained
perfectly still until the carriage had turned into the drive and
then without the least discomposure of countenance slipped off her
shoes left them on the ground and walked deliberately in the same
direction through the wettest of the wet grass

Is that young woman mad said my guardian

Oh no sir said the keeper who with his wife was looking after
her Hortense is not one of that sor",F,F,F,True
"ur no javelinmen no white wands Merely a closeshaved
gentleman in white trousers and a white hat with seabronze on the
judicial countenance and a strip of bark peeled by the solar rays
from the judicial nose who calls in at the shellfish shop as he
comes along and drinks iced gingerbeer

The bar of England is scattered over the face of the earth How
England can get on through four long summer months without its
barwhich is its acknowledged refuge in adversity and its only
legitimate triumph in p",F,F,F,True
"nch
wateringplace The learned gentleman who weeps by the pint on the
smallest provocation has not shed a tear these six weeks The very
learned gentleman who has cooled the natural heat of his gingery
complexion in pools and fountains of law until he has become great in
knotty arguments for termtime when he poses the drowsy bench with
legal chaff inexplicable to the uninitiated and to most of the
initiated too is roaming with a characteristic delight in aridity
and dust about Constantinople Other",F,F,F,True
"e hottest long vacation known for many years All the young
clerks are madly in love and according to their various degrees
pine for bliss with the beloved object at Margate Ramsgate or
Gravesend All the middleaged clerks think their families too large
All the unowned dogs who stray into the Inns of Court and pant about
staircases and other dry places seeking water give short howls of
aggravation All the blind mens dogs in the streets draw their
masters against pumps or trip them over buckets A s",F,F,F,True
